code,eng,thai 
T009,Multiple superficial injuries unspecified,การบาดเจ็บชั้นผิวของหลายบริเวณของร่างกาย ที่มิได้ระบุรายละเอียด
T01,Open wounds involving multiple body regions,บาดแผลเปิดหลายบริเวณในร่างกาย
T010,Open wounds involving head with neck,บาดแผลเปิดที่ศีรษะร่วมกับคอ
T011,Open wounds involving thorax with abdomen lower back and pelvis,บาดแผลเปิดของทรวงอกร่วมกับท้อง หลังส่วนล่างและเชิงกราน
T012,Open wounds involving multiple regions of upper limb(s),บาดแผลเปิดของหลายส่วนของแขน (ข้างเดียวหรือทั้ง 2 ข้าง)
T013,Open wounds involving multiple regions of lower limb(s),บาดแผลเปิดทรวงอกหลายส่วนของขา(ข้างเดียวหรือทั้ง 2 ข้าง)
T016,Open wounds involving multiple regions of upper limb(s) with lower limb(s),บาดแผลเปิดของหลายส่วนของแขน รวมกับขา (ข้างเดียวหรือทั้ง 2 ข้าง)
T018,Open wounds involving other combinations of body regions,บาดแผลเปิดของหลายส่วนของร่างกายร่วมกัน
T019,Multiple open wounds unspecified,บาดแผลเปิดของหลายส่วน ที่มิได้ระบุรายละเอียด
T02,Fractures involving multiple body regions,กระดูกแตกหักหลายบริเวณในร่างกาย
T020,Fractures involving head with neck,การแตก หัก ร้าวของกระดูกของศีรษะร่วมกับของคอ
T021,Fractures involving thorax with lower back and pelvis,การแตก หัก ร้าวของกระดูก ทรวงอก ร่วมกับหลังส่วนล่าง และเชิงกราน
T022,Fractures involving multiple regions of one upper limb,การแตก หัก ร้าวหลายส่วนของแขนข้างเดียว
T023,Fractures involving multiple regions of one lower limb,การแตก หัก ร้าวของกระดูก ทรวงอก ขาข้างเดียว
T024,Fractures involving multiple regions of both upper limbs,การแตก หัก ร้าวของกระดูก ทรวงอก แขนทั้ง 2 ข้าง
T025,Fractures involving multiple regions of both lower limbs,การแตก หัก ร้าวของหลายส่วนของขาทั้ง 2 ข้าง
T026,Fractures involving multiple regions of upper limb(s) with lower limb(s),การแตก หัก ร้าวของหลายส่วนของแขน ร่วมกับขา (ข้างเดียวหรือทั้ง 2 ข้าง)
T027,Fractures involving thorax with lower back and pelvis with limb(s),การแตก หัก ร้าว ของกระดูกของทรวงอกร่วมกับหลังส่วนล่างและเชิงกรานร่วมกับระยาง (ข้างเดียวหรือทั้งหมด)
T028,Fractures involving other combinations of body regions,การแตก หัก ร้าว ของกระดูกอื่นร่วมกับหลายส่วนอื่นของร่างกาย
T029,Multiple fractures unspecified,การแตก หัก ร้าว ของกระดูกหลายแห่ง ที่มิได้ระบุรายละเอียด
T03,Dislocations sprains and strains involving multiple body regions,ข้อและเอ็นเคลื่อน เคล็ด ขัด ยอก หลายบริเวณในร่างกาย
T030,Dislocations sprains and strains involving head with neck,การเคลื่อน เคล็ด ขัด ยอก ทั้งศีรษะร่วมกับที่คอ
T031,Dislocations sprains and strains involving thorax with lower back and pelvis,การเคลื่อน เคล็ด ขัด ยอก ทั้งศีรษะร่วมกับที่คอทรวงอกร่วมกันหลังส่วนล่างและเชิงกราน
T032,Dislocations sprains and strains involving multiple regions of upper limb(s),การเคลื่อน เคล็ด ขัด ยอก ทั้งศีรษะร่วมกับที่คอหลายส่วนของแขน (เดียวหรือทั้ง 2)
T033,Dislocations sprains and strains involving multiple regions of lower limb(s),การเคลื่อน เคล็ด ขัด ยอก ทั้งศีรษะร่วมกับที่คอหลายส่วนของขา (เดียวหรือทั้ง 2)
T034,Dislocations sprains and strains involving multiple regions of upper limb(s) with lower limb(s),การเคลื่อน เคล็ด ขัด ยอก ทั้งศีรษะร่วมกับที่ตอหลายส่วนของแขน ร่วมกับขา (ข้างเดียวหรือทั้ง 2 ข้าง)
T038,Dislocations sprains and strains involving other combinations of body regions,การเคลื่อน เคล็ด ขัด ยอก ทั้งศีรษะร่วมกับที่คอส่วนอื่นที่ร่วมกัน
T039,Multiple dislocations sprains and strains unspecified,การเคลื่อน เคล็ด ขัด ยอก ทั้งศีรษะร่วมกับที่คอหลายส่วนของร่างกาย ที่มิได้ระบุรายละเอียด
T04,Crushing injuries involving multiple body regions,บาดเจ็บจากการบด อัด ที่หลายบริเวณในร่างกาย
T040,Crushing injuries involving head with neck,การบาดเจ็บจากการบด อัดของศีรษะร่วมกับ คอ
T041,Crushing injuries involving thorax with abdomen lower back and pelvis,การบาดเจ็บจากการบด อัดของทรวงอกร่วมกับท้อง หลังส่วนล่างและเชิงกราน
T042,Crushing injuries involving multiple regions of upper limb(s),การบาดเจ็บจากการบด อัดของหลายส่วนของแขน(ข้างเดียวหรือทั้ง 2 ข้าง)
T043,Crushing injuries involving multiple regions of lower limb(s),การบาดเจ็บจากการบด อัดของหลายส่วนของขา (ข้างเดียวหรือทั้ง 2 ข้าง)
T044,Crushing injuries involving multiple regions of upper limb(s) with lower limb(s),การบาดเจ็บจากการบด อัดของหลายส่วนของแขน (ข้างเดียวหรือทั้ง 2 ข้าง)
T047,Crushing injuries of thorax with abdomen lower back and pelvis with limb(s),การบาดเจ็บจากการบด อัดของทรวงอก ร่วมกับแขน ขา
T048,Crushing injuries involving other combinations of body regions,การบาดเจ็บจากการบด อัดของส่วนอื่นของร่างกายร่วมกัน
T049,Multiple crushing injuries unspecified,การบาดเจ็บจากการบด อัดของหลายส่วนของร่างกาย ที่มิได้ระบุรายละเอียด
T05,Traumatic amputations involving multiple body regions,การบาดเจ็บที่ทำให้อวัยวะถูกตัดขาดหลายบริเวณในร่างกาย
T050,Traumatic amputations of both hands,การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของทั้ง 2 มือ
T051,Traumatic amputations of one hand and other arm [ any level except hand ],การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของมือ 1 ข้างและแขนอีกข้าง (ที่ระดับใดก็ได้ ยกเว้นมือ)
T052,Traumatic amputations of both arms [ any level ],การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของแขนทั้ง 2 ข้าง (ที่ระดับใดๆ)
T053,Traumatic amputations of both feet,การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของเท้าทั้ง 2 ข้าง
T054,Traumatic amputations of one foot and other leg [ any level except foot ],การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของเท้า 1 ข้างและขาอีกข้าง(ที่ระดับใดๆก็ได้ยกเว้นเท้า)
T055,Traumatic amputations of both legs [ any level ],การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของขาทั้ง 2 ข้าง (ที่ระดับใดๆ)
T056,Traumatic amputations of upper and lower limbs any combination [ any level ],การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของแขนและขา ร่วมกับแบบใดๆ(ที่ระดับใดๆ)
T058,Traumatic amputations involving other combinations of body regions,การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของหลายส่วนของร่างกายร่วมกัน
T059,Multiple traumatic amputations unspecified,การบาดเจ็บที่ทำให้มีการตัดหรือขาดออกของหลายส่วนของร่างกาย ที่มิได้ระบุรายละเอียด
T06,Other injuries involving multiple body regions not elsewhere classified,การบาดเจ็บอื่นหลายบริเวณในร่างกายที่มิได้มีรหัสระบุไว้ที่อื่น
T060,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level,การบาดเจ็บของสมองและเส้นประสาทสมองร่วมกับการบาดเจ็บหรือเส้นประสาท และไขสันหลังที่ระดับคอ
T061,Injuries of nerves and spinal cord involving other multiple body regions,การบาดเจ็บของเส้นประสาทและไขสันหลัง ที่หลายส่วนอื่นๆของร่างกาย
T062,Injuries of nerves involving multiple body regions,การบาดเจ็บของเส้นประสาทที่หลายส่วนของร่างกาย
T063,Injuries of blood vessels involving multiple body regions,การบาดเจ็บของเส้นเลือดในหลายส่วนของร่างกาย
T064,Injuries of muscles and tendons involving multiple body regions,การบาดเจ็บของกล้ามเนื้อและเอ็นในหลายส่วนของร่างกาย
T065,Injuries of intrathoracic organs with intra-abdominal and pelvic organs,การบาดเจ็บของอวัยวะภายในทรวงอกร่วมกันในช่องท้องและในช่องเชิงกราน
T068,Other specified injuries involving multiple body regions,การบาดเจ็บของที่ระบุอื่นๆที่หลายส่วนของร่างกาย
T07,Unspecified multiple injuries,บาดเจ็บหลายแห่งที่มิได้ระบุรายละเอียด
T08,Fracture of spine level unspecified,กระดูกสันหลังหัก ไม่ระบุระดับ
T09,Other injuries of spine and trunk lever unspecified,การบาดเจ็บอื่นของกระดูกสันหลังและลำตัว ที่ไม่ระบุระดับ
T090,Superficial injury of trunk lever unspecified,การบาดเจ็บชั้นผิวของลำตัว ไม่ระบุระดับ
T091,Open wound of trunk level unspecified,บาดแผลเปิดของลำตัวไม่ระบุระดับ
T092,Dislocationsprain and strain of unspecified joint and ligament of trunk,การเคลื่อน เคล็ด ขัด ยอก ของข้อที่มิได้ระบุรายละเอียดเอ็นของลำตัว
T093,Injury of spinal cord level unspecified,การบาดเจ็บของไขสันหลัง ไม่ระบุระดับ
T094,Injury of unspecified nerve spinal nerve root and plexus of trunk,การบาดเจ็บของเส้นประสาท รากเส้นประสาทไขสันหลังและข่ายประสาทของลำตัว
T095,Injury of unspecified muscle and tendon of trunk,การบาดเจ็บของกล้ามเนื้อเอ็นที่มิได้ระบุรายละเอียดของลำตัว
T096,Traumatic amputation of trunk level unspecified,การบาดเจ็บที่ทำให้มีการตัด ขาดของลำตัว ไม่ระบุตำแหน่ง
T098,Other specified injuries of trunk level unspecified,การบาดเจ็บอื่นที่ระบุเฉพาะของลำตัว ไม่ระบุตำแหน่ง
T099,Unspecified injury of trunk level unspecified,การบาดเจ็บที่ไม่ระบุของลำตัว ไม่ระบุตำแหน่ง
T10,Fracture of upper limb level unspecified,กระดูกหักบริเวณแขน ไม่ระบุที่
T11,Other injuries of upper limb level unspecified,การบาดเจ็บอื่นบริเวณแขน ไม่ระบุที่
T110,Superficial injury of upper limb level unspecified,การบาดเจ็บชั้นผิวของแขน 1 ข้าง ไม่ระบุระดับ
T111,Open wound of upper limb level unspecified,บาดแผลเปิดของแขน 1 ข้าง ไม่ระบุระดับ
T112,Dislocation sprain and strain of unspecified joint and ligament of upper limb level unspecified,การเคลื่อน เคล็ด ขัด ยอกของข้อที่ไม่ระบุระดับและเอ็นของแขน 1 ข้าง ไม่ระบุระดับ
T113,Injury of unspecified nerve of upper limb level unspecified,การบาดเจ็บของเส้นประสาทที่ไม่ระบุของแขน 1 ข้าง ไม่ระบุระดับ
T114,Injury of unspecified blood vessel of upper limb level unspecified,การบาดเจ็บของหลอดเลือดที่ไม่ระบุของแขน 1 ข้าง ไม่ระบุระดับ
T115,Injury of unspecified muscle and tendon of upper limb level unspecified,การบาดเจ็บของกล้ามเนื้อและเอ็นที่ไม่ระบุของแขน 1 ข้าง ไม่ระบุระดับ
T116,Traumatic amputation of upper limb level unspecified,การบาดเจ็บที่ทำให้แขน 1 ข้าง ถูกตัดขาด ไม่ระบุระดับ
T118,Other specified injuries of upper limb level unspecified,การบาดเจ็บอื่นที่ระบุเฉพาะของแขน 1 ข้าง ไม่ระบุระดับ
T119,Unspecified injury of upper limb level unspecified,การบาดเจ็บที่ไม่รบุรายละเอียดของแขน 1 ข้าง ไม่ระบุระดับ
T12,Fracture of lower limb level unspecified,กระดูกแตกหักบริเวณขา ไม่ระบุระดับ
T13,Other injuries of lower limb level unspecified,บาดเจ็บอื่นบริเวณขา ไม่ระบุระดับ
T130,Superficial injury of lower limb level unspecified,การบาดเจ็บชั้นผิวของขา 1 ข้าง ไม่ระบุระดับ
T131,Open wound of lower limb level unspecified,บาดแผลเปิดของขา 1 ข้าง ไม่ระบุระดับ
T132,Dislocationsprain and strain of unspecified joint and ligament of lower limb level unspecified,การเคลื่อน เคล็ด ขัด ยอกของข้อที่มิได้ระบุรายละเอียดและเอ็นของขา 1 ข้างไม่ระบุระดับ
T133,Injury of unspecified nerve of lower limb level unspecified,การบาดเจ็บของเส้นประสาทที่มิได้ระบุรายละเอียดของขา 1 ข้าง ไม่ระบุระดับ
T134,Injury of unspecified blood vessel of lower limb level unspecified,การบาดเจ็บของเส้นเลือดที่มิได้ระบุรายละเอียดของขา 1 ข้าง ไม่ระบุระดับ
T135,Injury of unspecified muscle and tendon of lower limb level unspecified,การบาดเจ็บของกล้ามเนื้อและเอ็นที่มิได้ระบุรายละเอียดของขา 1 ข้าง ไม่ระบุระดับ
T136,Traumatic amputation of lower limb level unspecified,การบาดเจ็บที่ทำให้ขา 1 ข้าง ถูกตัดขาด ไม่ระบุระดับ
T138,Other specified injuries of lower limb level unspecified,การบาดเจ็บอื่นของขา 1 ข้าง ไม่ระบุระดับ
T139,Unspecified injury of lower limb level unspecified,การบาดเจ็บที่ไม่ระบุของขา 1 ข้าง ไม่ระบุระดับ
T14,Injury of unspecified body region,การบาดเจ็บ ไม่ระบุส่วนของร่างกายหรือตำแหน่ง
T140,Superficial injury of unspecified body region,การบาดเจ็บที่ชั้นผิว ที่ไม่ระบุตำแหน่ง
T141,Open wound of unspecified body region,บาดแผลเปิดที่ไม่ระบุตำแหน่ง
T142,Fracture of unspecified body region,กระดูกหักโดยไม่ระบุส่วนของร่างกาย
T143,Dislocation sprain and strain of unspecified body region,การเคลื่อน เคล็ด ขัด ยอก ไม่ระบุส่วนของร่างกาย
T144,Injury of nerve(s) of unspecified body region,การบาดเจ็บต่อเส้นประสาทต่างๆไม่ระบุส่วนของร่างกาย
T145,Injury of blood vessel(s) of unspecified body region,การบาดเจ็บหลายแห่งของหลอดเลือด ไม่ระบุส่วนของร่างกาย
T146,Injury of tendons and muscles of unspecified body region,การบาดเจ็บของเอ็นและกล้ามเนื้อ ไม่ระบุส่วนของร่างกาย
T147,Crushing injury and traumatic amputation of unspecified body region,การบาดเจ็บแบบบด อัด และทำให้มีการตัด ขาดของส่วนของร่างกายที่มิได้ระบุรายละเอียด
T148,Other injuries of unspecified body region,การบาดเจ็บอื่นๆไม่ระบุส่วนของร่างกาย
T149,Injury unspecified,การบาดเจ็บที่มิได้ระบุรายละเอียด
T15,Foreign body on external eye,วัตถุแปลกปลอมเข้าตาส่วนนอก
T150,Foreign body in cornea,วัตถุแปลกปลอมในแก้วตา
T151,Foreign body in conjunctival sac,วัตถุแปลกปลอมถุงเยื่อบุตา
T158,Foreign body in other and multiple parts of external eye,วัตถุแปลกปลอมในส่วนอื่นๆและหลายส่วนของตา ส่วนนอก
T159,Foreign body on external eye part unspecified,วัตถุแปลกปลอมบนส่วนนอกของตา ไม่ระบุตำแหน่ง
T16,Foreign body in ear,วัตถุแปลกปลอมเข้าหู
T17,Foreign body in respiratory tract,วัตถุแปลกปลอมเข้าทางเดินหายใจ
T170,Foreign body in nasal sinus,วัตถุแปลกปลอมในโพรงกระดูกจมูก
T171,Foreign body in nostril,วัตถุแปลกปลอมในรูจมูก
T172,Foreign body in pharynx,วัตถุแปลกปลอมในคอหอย
T173,Foreign body in larynx,วัตถุแปลกปลอมในกล่องเสียง
T174,Foreign body in trachea,วัตถุแปลกปลอมในหลอดลมใหญ่ส่วนบน
T175,Foreign body in bronchus,วัตถุแปลกปลอมในหลอดลมใหญ่
T178,Foreign body in other and multiple parts of respiratory tract,วัตถุแปลกปลอมในส่วนอื่นและหลายส่วนของทางเดินหายใจ
T179,Foreign body in respiratory tract part unspecified,วัตถุแปลกปลอมในทางเดินหายใจ ไม่ระบุตำแหน่ง
T18,Foreign body in alimentary tract,วัตถุแปลกปลอมในระบบย่อยอาหาร
T180,Foreign body in mouth,วัตถุแปลกปลอมในช่องปาก
T181,Foreign body in oesphagus,วัตถุแปลกปลอมในหลอดอาหาร
T182,Foreign body in stomach,วัตถุแปลกปลอมในกระเพาะอาหาร
T183,Foreign body in small intestine,วัตถุแปลกปลอมในลำไส้เล็ก
T184,Foreign body in colon,วัตถุแปลกปลอมในลำไส้ใหญ่
T185,Foreign body in anus and rectum,วัตถุแปลกปลอมในทวารหนักและไส้ตรง
T188,Foreign body in other and multiple parts of alimentary tract,วัตถุแปลกปลอมในส่วนอื่นและหลายส่วนของทางเดินอาหาร
T189,Foreign body in alimentary tract part unspecified,วัตถุแปลกปลอมในทางเดินอาหาร ไม่ระบุตำแหน่ง
T19,Foreign body in genitourinary tract,วัตถุแปลกปลอมเข้าระบบอวัยวะสืบพันธุ์ร่วมปัสสาวะ
T190,Foreign body in urethra,วัตถุแปลกปลอมในท่อปัสสาวะ
T191,Foreign body in bladder,วัตถุแปลกปลอมในกระเพาะปัสสาวะ
T192,Foreign body in vulva and vagina,วัตถุแปลกปลอมในปากช่องคลอดและช่องคลอด
T193,Foreign body in uretus(any part),วัตถุแปลกปลอมในมดลูก(ส่วนใดๆ)
T198,Foreign body in other and multiple parts of genitourinary tract,วัตถุแปลกปลอมในส่วนอื่นและหลายส่วนของระบบอวัยวะสืบพันธุ์ร่วมปัสสาวะ 
T199,Foreign body in genitourinary tract part unspecified,วัตถุแปลกปลอมในระบบอวัยวะสืบพันธุ์ร่วมปัสสาวะ ไม่ระบุตำแหน่ง
T20,Burn and corrosion of head and neck,แผลถูกความร้อนและถูกสารกัดกร่อนที่ศีรษะและคอ
T200,Burn of unspecified degree of head and neck,แผลถูกความร้อนที่ไม่ระบุความรุนแรงของศีรษะและคอ
T201,Burn of first degree of head and neck,แผลถูกความร้อนที่ความรุนแรงระดับหนึ่ง ของศีรษะและคอ
T202,Burn of second degree of head and neck,แผลถูกความร้อนที่ความรุนแรงระดับสอง ของศีรษะและคอ
T203,Burn of third degree of head and neck,แผลถูกความร้อนที่ความรุนแรงระดับสาม ของศีรษะและคอ
T204,Corrosion of unspecified degree of head and neck,แผลถูกสารกัดกร่อนที่ไม่ระบุความรุนแรงของศีรษะและคอ
T205,Corrosion of first degree of head and neck,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับหนึ่งของศีรษะและคอ
T206,Corrosion of second degree of head and neck,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสองของศีรษะและคอ
T207,Corrosion of third degree of head and neck,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสามของศีรษะและคอ
T21,Burn and corrosion of trunk,แผลถูกความร้อนและถูกสารกัดกร่อนที่ลำตัว
T210,Burn of unspecified degree of trunk,แผลถูกความร้อนที่ไม่ระบุความรุนแรงของลำตัว
T211,Burn of first degree of trunk,แผลถูกความร้อนที่ความรุนแรงระดับหนึ่ง ของลำตัว
T212,Burn of second degree of trunk,แผลถูกความร้อนที่ความรุนแรงระดับสอง ของลำตัว
T213,Burn of third degree of trunk,แผลถูกความร้อนที่ความรุนแรงระดับสาม ของลำตัว
T214,Corrosion of unspecified degree of trunk,แผลถูกสารกัดกร่อนที่ไม่ระบุความรุนแรงของลำตัว
T215,Corrosion of first degree of trunk,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับหนึ่ง ของลำตัว
T216,Corrosion of second degree of trunk,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสอง ของลำตัว
T217,Corrosion of third degree of trunk,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสาม ของลำตัว
T22,Burn and corrosion of shoulder and upper limb except wrist and hand,แผลถูกความร้อนและถูกสารกัดกร่อนที่ไหล่และแขนยกเว้นข้อมือและมือ
T220,Burn of unspecified degree of shoulder and upper limb except wrist and hand,แผลถูกความร้อนที่ไม่ระบุความรุนแรงของไหล่และแขน ยกเว้นข้อมือและมือ
T221,Burn of first degree of shoulder and upper limb except wrist and hand,แผลถูกความร้อนที่ความรุนแรงระดับหนึ่ง ของไหล่และแขน ยกเว้นข้อมือและมือ
T222,Burn of second degree of shoulder and upper limb except wrist and hand,แผลถูกความร้อนที่ความรุนแรงระดับสอง ของไหล่และแขน ยกเว้นข้อมือและมือ
T223,Burn of third degree of shoulder and upper limb except wrist and hand,แผลถูกความร้อนที่ความรุนแรงระดับสาม ของไหล่และแขน ยกเว้นข้อมือและมือ
T224,Corrosion of unspecified degree of shoulder and upper limb except wrist and hand,แผลถูกสารกัดกร่อนที่ไม่ระบุความรุนแรงของไหล่และแขน ยกเว้นข้อมือและมือ
T225,Corrosion of first degree of shoulder and upper limb except wrist and hand,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับหนึ่ง ของไหล่และแขน ยกเว้นข้อมือและมือ
T226,Corrosion of second degree of shoulder and upper limb except wrist and hand,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสอง ของไหล่และแขน ยกเว้นข้อมือและมือ
T227,Corrosion of third degree of shoulder and upper limb except wrist and hand,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสามของไหล่และแขน ยกเว้นข้อมือและมือ
T23,Burn and corrosion of wrist and hand,แผลถูกความร้อนและถูกสารกัดกร่อนที่ข้อมือและมือ
T230,Burn of unspecified degree of wrist and hand,แผลถูกความร้อนที่ไม่ระบุความรุนแรงของข้อมือและมือ
T231,Burn of first degree of wrist and hand,แผลถูกความร้อนที่ความรุนแรงระดับหนึ่ง ของข้อมือและมือ
T232,Burn of second degree of wrist and hand,แผลถูกความร้อนที่ความรุนแรงระดับสอง ของข้อมือและมือ
T233,Burn of third degree of wrist and hand,แผลถูกความร้อนที่ความรุนแรงระดับสาม ของข้อมือและมือ
T234,Corrosion of unspecified degree of wrist and hand,แผลถูกสารกัดกร่อนที่ไม่ระบุความรุนแรงของข้อมือและมือ
T235,Corrosion of first degree of wrist and hand,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับหนึ่ง ของข้อมือและมือ
T236,Corrosion of second degree of wrist and hand,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสอง ของข้อมือและมือ
T237,Corrosion of third degree of wrist and hand,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสาม ของข้อมือและมือ
T24,Burn and corrosion of hip and lower limb except ankle and foot,แผลถูกความร้อนและถูกสารกัดกร่อนที่สะโพก ขา ยกเว้นข้อเท้าและเท้า
T240,Burn of unspecified degree of hip and lower limb except ankle and foot,แผลถูกความร้อนที่ไม่ระบุความรุนแรงของสะโพก ขา ยกเว้นข้อเท้าและเท้า
T241,Burn of first degree of hip and lower limb except ankle and foot,แผลถูกความร้อนที่ความรุนแรงระดับหนึ่ง ของสะโพก ขา ยกเว้นข้อเท้าและเท้า
T242,Burn of second degree of hip and lower limb except ankle and foot,แผลถูกความร้อนที่ความรุนแรงระดับสอง ของสะโพก ขา ยกเว้นข้อเท้าและเท้า
T243,Burn of third degree of hip and lower limb except ankle and foot,แผลถูกความร้อนที่ความรุนแรงระดับสาม ของสะโพก ขา ยกเว้นข้อเท้าและเท้า
T244,Corrosion of unspecified degree of hip and lower limb except ankle and foot,แผลถูกสารกัดกร่อนที่ไม่ระบุความรุนแรงของสะโพก ขา ยกเว้นข้อเท้าและเท้า
T245,Corrosion of first degree of hip and lower limb except ankle and foot,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับหนึ่ง ของสะโพก ขา ยกเว้นข้อเท้าและเท้า
T246,Corrosion of second degree of hip and lowerlimb except ankle and foot,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสอง ของสะโพก ขา ยกเว้นข้อเท้าและเท้า
T247,Corrosion of third degree of hip and lower limb except ankle and foot,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสาม ของสะโพก ขา ยกเว้นข้อเท้าและเท้า
T25,Burn and corrosion of ankle and foot,แผลถูกความร้อนและถูกสารกัดกร่อนที่ข้อเท้าและเท้า
T250,Burn of unspecified degree of ankle and foot,แผลถูกความร้อนที่ไม่ระบุความรุนแรงของข้อเท้าและเท้า
T251,Burn of first degree of ankle and foot,แผลถูกความร้อนที่ความรุนแรงระดับหนึ่ง ของข้อเท้าและเท้า
T252,Burn of second degree of ankle and foot,แผลถูกความร้อนที่ความรุนแรงระดับสอง ของข้อเท้าและเท้า
T253,Burn of third degree of ankle and foot,แผลถูกความร้อนที่ความรุนแรงระดับสาม ของข้อเท้าและเท้า
T254,Corrosion of unspecified degree of ankle and foot,แผลถูกสารกัดกร่อนที่ไม่ระบุความรุนแรงของข้อเท้าและเท้า
T255,Corrosion of first degree of ankle and foot,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับหนึ่ง ของข้อเท้าและเท้า
T256,Corrosion of second degree of ankle and foot,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสอง ของข้อเท้าและเท้า
T257,Corrosion of third degree of ankle and foot,แผลถูกสารกัดกร่อนที่ความรุนแรงระดับสามของข้อเท้าและเท้า
T26,Burn and corrosion confined to eye and adnexa,แผลถูกความร้อนและถูกสารกัดกร่อนที่ตาและส่วนประกอบของตา
T260,Burn of eyelid and periocular area,แผลถูกความร้อนของเปลือกตาและบริเวณรอบตา
T261,Burn of cornea and conjunctival sac,แผลถูกความร้อนของแก้วตาและถุงเยื้อตา
T262,Burn with resulting rupture and destruction of eyeball,แผลถูกความร้อนร่วมกับการแตกและทำลายของลูกตา
T263,Burn of other parts of eye and adnexa,แผลถูกความร้อนของส่วนอื่นของตาและส่วนประกอบของตา
T264,Burn of eye and adnexa part unspecified,แผลถูกความร้อนของตาและอวัยวะเกี่ยวกับตา ไม่ระบุตำแหน่ง
T265,Corrosion of eyelid and periocular area,แผลถูกสารกัดกร่อนเปลือกตาและบริเวณรอบตา
T266,Corrosion of cornea and conjunctival sac,แผลถูกสารกัดกร่อนของแก้วตาและถุงเยื่อบุตา
T267,Corrosion with resulting rupture and destruction of eyeball,แผลถูกสารกัดกร่อนร่วมกับการแตกและทำลายของลูกตา
T268,Corrosion of other parts of eye and adnexa,แผลถูกสารกัดกร่อนของส่วนอื่นของตาและส่วนประกอบของตา
T269,Corrosion of eye and adnexa part unspecified,แผลถูกสารกัดกร่อนของตาและส่วนประกอบของตา ไม่ระบุตำแหน่ง
T27,Burn and corrosion of respiratory tract,แผลถูกความร้อนและถูกสารกัดกร่อนที่ทางเดินหายใจ
T270,Burn of larynx and tractea,แผลถูกความร้อนของกล่องเสียงและหลอดลมใหญ่ส่วนบน
T271,Burn of involving larynx and trachea with lung,แผลถูกความร้อนของกล่องเสียงและหลอดลมใหญ่ส่วนบน ร่วมกับปอด
T272,Burn of other parts of  respiratory  tract,แผลถูกความร้อนของส่วนอื่นของทางเดินหายใจ
T273,Burn of respiratory  tract part unspecified,แผลถูกความร้อนของทางเดินหายใจ ไม่ระบุตำแหน่ง
T274,Corrosion of larynx and trachea,แผลถูกสารกัดกร่อนของกล่องเสียงและหลอดลมใหญ่ส่วนบน
T275,Corrosion involving larynx and trachea with lung,แผลถูกสารกัดกร่อนของกล่องเสียงและหลอดลมใหญ่ร่วมกับปอด
T276,Corrosion of other parts of respiratory tract,แผลถูกสารกัดกร่อนของทางเดินหายใจ
T277,Corrosion of respiratory tract part unspecified,แผลถูกสารกัดกร่อนของทางเดินหายใจ ไม่ระบุตำแหน่ง
T28,Brun and corrosion of other internal organs,แผลถูกความร้อนและถูกสารกัดกร่อนที่อวัยวะภายในอื่น
T280,Brun of mouth and pharynx,แผลถูกความร้อนของช่องปากและคอหอย
T281,Brun of oesophagus,แผลถูกความร้อนของหลอดอาหาร
T282,Brun of other parts of alimentary tract,แผลถูกความร้อนของส่วนอื่นของทางเดินอาหาร
T283,Burn of internal genitourinary organs,แผลถูกความร้อนของอวัยวะร่วมปัสสาวะ ที่อยู่ภ่ยในของร่างกาย
T284,Burn of other and unspecified internal organs,แผลถูกความร้อนของอวัยวะภายในอื่นๆและที่มิได้ระบุรายละเอียด
T285,Corrosion of mouth and pharynx,แผลถูกสารกัดกร่อนของช่องปากและคอหอย
T286,Corrosion of oesophagus,แผลถูกสารกัดกร่อนของหลอดอาหาร
T287,Corrosion of other parts of alimentary tract,แผลถูกสารกัดกร่อนของส่วนอื่นของทางเดินอาหาร
T288,Corrosion of internal genitourinary organs,แผลถูกสารกัดกร่อนของอวัยวะร่วมปัสสาวะ ที่อยู่ภายในของร่างกาย
